x,y,z
0.0,-0.1,11.673
0.1,-0.1,11.4456
0.2,-0.1,10.849
0.3,-0.1,9.913
0.4,-0.1,8.69259
0.5,-0.1,7.27296
0.6,-0.1,5.76721
0.7,-0.1,4.30293
0.8,-0.1,2.99864
0.9,-0.1,1.93816
1.0,-0.1,1.15437
1.1,-0.1,0.62992
1.2,-0.1,0.313352
1.3,-0.1,0.141496
1.4,-0.1,0.0577941
1.5,-0.1,0.0212908
-1.5,0.0,0.0269534
-1.4,0.0,0.0715817
-1.3,0.0,0.171539
-1.2,0.0,0.372054
-1.1,0.0,0.733046
-1.0,0.0,1.31781
-0.9,0.0,2.1728
-0.8,0.0,3.30533
-0.7,0.0,4.67005
-0.6,0.0,6.17231
-0.5,0.0,7.6878
-0.4,0.0,9.08912
-0.3,0.0,10.2679
-0.2,0.0,11.1454
-0.1,0.0,11.673
0.0,0.0,11.8256
0.1,0.0,11.5969
0.2,0.0,10.9967
0.3,0.0,10.0541
0.4,0.0,8.82359
0.5,0.0,7.38993
0.6,0.0,5.86661
0.7,0.0,4.38248
0.8,0.0,3.05801
0.9,0.0,1.97912
1.0,0.0,1.18029
1.1,0.0,0.644877
1.2,0.0,0.321181
1.3,0.0,0.145198
1.4,0.0,0.0593706
1.5,0.0,0.0218939
-1.5,0.1,0.0258548
-1.4,0.1,0.0687706
-1.3,0.1,0.165074
-1.2,0.1,0.358657
-1.1,0.1,0.707944
-1.0,0.1,1.27511
-0.9,0.1,2.10648
-0.8,0.1,3.21071
-0.7,0.1,4.54506
-0.6,0.1,6.01806
-0.5,0.1,7.50815
-0.4,0.1,8.88954
-0.3,0.1,10.0542
-0.2,0.1,10.9228
-0.1,0.1,11.4456
0.0,0.1,11.5969
0.1,0.1,11.3702
0.2,0.1,10.7755
0.3,0.1,9.84282
0.4,0.1,8.62753
0.5,0.1,7.21495
0.6,0.1,5.71798
0.7,0.1,4.26358
0.8,0.1,2.96932
0.9,0.1,1.91796
1.0,0.1,1.14161
1.1,0.1,0.622562
1.2,0.1,0.309506
1.3,0.1,0.139679
1.4,0.1,0.057021
1.5,0.1,0.0209953
-1.5,0.2,0.0231326
-1.4,0.2,0.0617817
-1.3,0.2,0.148944
-1.2,0.2,0.3251
-1.1,0.2,0.644807
-1.0,0.2,1.16721
-0.9,0.2,1.93812
-0.8,0.2,2.9693
-0.7,0.2,4.22452
-0.6,0.2,5.62045
-0.5,0.2,7.0428
-0.4,0.2,8.37028
-0.3,0.2,9.49604
-0.2,0.2,10.3396
-0.1,0.2,10.849
0.0,0.2,10.9967
0.1,0.2,10.7755
0.2,0.2,10.1964
0.3,0.2,9.29131
0.4,0.2,8.11784
0.5,0.2,6.76213
0.6,0.2,5.33523
0.7,0.2,3.95897
0.8,0.2,2.74324
0.9,0.2,1.76285
1.0,0.2,1.04395
1.1,0.2,0.566484
1.2,0.2,0.280285
1.3,0.2,0.125918
1.4,0.2,0.0511833
1.5,0.2,0.0187699
-1.5,0.3,0.0192895
-1.4,0.3,0.0518543
-1.3,0.3,0.125878
-1.2,0.3,0.276766
-1.1,0.3,0.553152
-1.0,0.3,1.00926
-0.9,0.3,1.68946
-0.8,0.3,2.60942
-0.7,0.3,3.74214
-0.6,0.3,5.01641
-0.5,0.3,6.32944
-0.4,0.3,7.56776
-0.3,0.3,8.62755
-0.2,0.3,9.42752
-0.1,0.3,9.913
0.0,0.3,10.0541
0.1,0.3,9.84282
0.2,0.3,9.29131
0.3,0.3,8.43416
0.4,0.3,7.33133
0.5,0.3,6.0692
0.6,0.3,4.75487
0.7,0.3,3.50142
0.8,0.3,2.40688
0.9,0.3,1.53418
1.0,0.3,0.901232
1.1,0.3,0.485208
1.2,0.3,0.238259
1.3,0.3,0.106268
1.4,0.3,0.0429016
1.5,0.3,0.015632
-1.5,0.4,0.0149725
-1.4,0.4,0.0406038
-1.3,0.4,0.0994861
-1.2,0.4,0.220888
-1.1,0.4,0.446007
-1.0,0.4,0.822406
-0.9,0.4,1.39159
-0.8,0.4,2.17266
-0.7,0.4,3.14884
-0.6,0.4,4.26359
-0.5,0.4,5.42911
-0.4,0.4,6.54329
-0.3,0.4,7.50818
-0.2,0.4,8.24345
-0.1,0.4,8.69259
0.0,0.4,8.82359
0.1,0.4,8.62753
0.2,0.4,8.11784
0.3,0.4,7.33133
0.4,0.4,6.32945
0.5,0.4,5.1968
0.6,0.4,4.03344
0.7,0.4,2.94017
0.8,0.4,1.99972
