x,y,z
-0.9,0.8,0.0206466
-0.8,0.8,0.105101
-0.7,0.8,0.274294
-0.6,0.8,0.529682
-0.5,0.8,0.859207
-0.4,0.8,1.24168
-0.3,0.8,1.63752
-0.2,0.8,1.97317
-0.1,0.8,2.19459
0.0,0.8,2.2716
0.1,0.8,2.19459
0.2,0.8,1.97317
0.3,0.8,1.63752
0.4,0.8,1.24168
0.5,0.8,0.859207
0.6,0.8,0.529682
0.7,0.8,0.274294
0.8,0.8,0.105101
0.9,0.8,0.0206466
1.0,0.8,0.000154258
1.1,0.8,0.0
1.2,0.8,0.0
1.3,0.8,0.0
1.4,0.8,0.0
1.5,0.8,0.0
-1.5,0.9,0.0
-1.4,0.9,0.0
-1.3,0.9,0.0
-1.2,0.9,0.0
-1.1,0.9,0.0
-1.0,0.9,0.0
-0.9,0.9,0.000635892
-0.8,0.9,0.0206466
-0.7,0.9,0.0865847
-0.6,0.9,0.207617
-0.5,0.9,0.379653
-0.4,0.9,0.58966
-0.3,0.9,0.818714
-0.2,0.9,1.03195
-0.1,0.9,1.17984
0.0,0.9,1.23234
0.1,0.9,1.17984
0.2,0.9,1.03195
0.3,0.9,0.818714
0.4,0.9,0.58966
0.5,0.9,0.379653
0.6,0.9,0.207617
0.7,0.9,0.0865847
0.8,0.9,0.0206466
0.9,0.9,0.000635892
1.0,0.9,0.0
1.1,0.9,0.0
1.2,0.9,0.0
1.3,0.9,0.0
1.4,0.9,0.0
1.5,0.9,0.0
-1.5,1.0,0.0
-1.4,1.0,0.0
-1.3,1.0,0.0
-1.2,1.0,0.0
-1.1,1.0,0.0
-1.0,1.0,0.0
-0.9,1.0,0.0
-0.8,1.0,0.000154258
-0.7,1.0,0.00949948
-0.6,1.0,0.0430915
-0.5,1.0,0.104579
-0.4,1.0,0.188886
-0.3,1.0,0.285294
-0.2,1.0,0.380354
-0.1,1.0,0.454991
0.0,1.0,0.483046
0.1,1.0,0.454991
0.2,1.0,0.380354
0.3,1.0,0.285294
0.4,1.0,0.188886
0.5,1.0,0.104579
0.6,1.0,0.0430915
0.7,1.0,0.00949948
0.8,1.0,0.000154258
0.9,1.0,0.0
1.0,1.0,0.0
1.1,1.0,0.0
1.2,1.0,0.0
1.3,1.0,0.0
1.4,1.0,0.0
1.5,1.0,0.0
-1.5,1.1,0.0
-1.4,1.1,0.0
-1.3,1.1,0.0
